repository,snapshot_commit,path,scope,format,size_bytes,git_blob_sha1,sha256,github_url,raw_url,provenance_and_license_note
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/Controls/Scrollbar/hscrollbar_cursor.png,direct_visual,raster_png,316,33efeeaee368cf736b25ab39a4b961a99adc9f6c,ffea596a7dd40644870b408584259087d661cc0d091f410180cb5af38e6b358d,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Controls/Scrollbar/hscrollbar_cursor.png,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Controls/Scrollbar/hscrollbar_cursor.png,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/Fonts/Courier New.ttf,typography,font_truetype,690208,5357eebf0ce706e68cdf1cd594e4a8a16e52eeab,87afb7f44e9ef6251fe769339f18ae4a2ca36aab1396874bedfc4b64bcea12a9,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/Courier%20New.ttf,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/Courier%20New.ttf,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/Fonts/FSEX300.ttf,typography,font_truetype,575668,a4f177c41a894b87a0175d2d68e730aa2f742700,6ee0f3573bc5e33e93b616ef6282f49bc0e227a31aa753ac76ed2e3f3d02056d,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/FSEX300.ttf,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/FSEX300.ttf,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/Fonts/PMU.ttf,typography,font_truetype,23948,f2bcf16416e5662648b4175c07b6d93e8bef0e42,549c99977f6ea9b4bb00b6a84b94e40f1170e2a774eaae87bb655bc14fe160af,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/PMU.ttf,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/PMU.ttf,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/Fonts/tahoma.ttf,typography,font_truetype,675860,bfe2842941103fcb5f6d8c601b26575d56ec7f06,09b136b2e48ca967508a5abb3849ca65827de27834cf48db7ba1782b8fd39dab,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/tahoma.ttf,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/tahoma.ttf,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/Fonts/unown.ttf,typography,font_truetype,29316,17084e402a654c1ec41d76914e2a4912a8f05cdc,00f7a5dd9b74eaf74b3549482ee0a9577da88374c22f9b45836d5eb402aba7b5,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/unown.ttf,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/Fonts/unown.ttf,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/GFX/Items/Items.png,direct_visual,raster_png,232111,3e9a2cb7abea4e2c9aa2a33b26c1a2aaf86e017e,27bad61f45bcd3b9bf9d6ef89f2b68ab7c2efcb940bc710f101d8ca65516633a,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Items/Items.png,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Items/Items.png,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/GFX/Mugshots/Portrait0.portrait,visual_container,pmu_portrait_container,251,1a19b8c3bf4df6f3de364f7b6b6a00af16135e5a,9d776d5d2ad18564e9b0f5495ec86832ecab7fb9c17491c485ebbd59787492ce,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Mugshots/Portrait0.portrait,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Mugshots/Portrait0.portrait,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/GFX/Mugshots/Portrait1.portrait,visual_container,pmu_portrait_container,19261,0b444b3a6631bba5c29ac49de9a3ad3162cb7c7b,b57c7100c91a2f4e5189c885eff5f9ea23235e3c6728736bf17883fd10ae3d37,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Mugshots/Portrait1.portrait,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Mugshots/Portrait1.portrait,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
PMUniverse/PMU-Client,c25c01f9879369647cd5a19731b2e4e5acd33e67,resources/GFX/Mugshots/Portrait10.portrait,visual_container,pmu_portrait_container,3337,b83aaeddc074b4d10e4f95b386ee4cc543aed316,9c3a4ca089921273d77de8e76398f3de7e05fac6f5929aa9bf099a3a9821b39e,https://github.com/PMUniverse/PMU-Client/blob/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Mugshots/Portrait10.portrait,https://raw.githubusercontent.com/PMUniverse/PMU-Client/c25c01f9879369647cd5a19731b2e4e5acd33e67/resources/GFX/Mugshots/Portrait10.portrait,"PMU resource. The repository carries an MIT source-code license, but Asset Credits.txt attributes groups of sprites/audio to PMU contributors and third-party sites; no per-file reuse grant was found."
